Season,League,Player_id,Player,Age,Birth_date,Nation,Height,Team,Appearances,Minutes,Position,Rating,Shots Total,Shots On,Goals,Assists,Passes Total,Passes Key,Tackles Total,Blocks,Interceptions,Duels Total,Duels Won,Dribbles Attempted,Dribbles Success,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Weekly Wages $
2025-26,England League One,437566.0,A Ahmed,18.4,2007-08-31 00:00:00,England,182.0,Reading,9.0,551.0,Defender,6.0352,0.0,0.0,0.0,0.0,206.0,5.0,13.0,3.0,7.0,80.0,37.0,12.0,6.0,4.0,11.0,3.0,0.0,0.0
2025-26,Scotland Premier,345107.0,A AhmedFatah,21.9,2004-02-19 00:00:00,Sweden,180.0,Dundee Utd,21.0,1265.0,Attacker,6.801200000000001,26.0,13.0,4.0,3.0,247.0,21.0,28.0,1.0,11.0,209.0,96.0,49.0,25.0,18.0,23.0,2.0,0.0,0.0
2025-26,Netherlands Eredivisie,1949.0,A Ahmedhodzic,26.8,1999-03-26 00:00:00,Bosnia And Herzegovina,190.0,Feyenoord,19.0,1625.0,Defender,7.0761,4.0,0.0,0.0,1.0,1065.0,8.0,22.0,11.0,24.0,141.0,83.0,5.0,1.0,15.0,21.0,4.0,0.0,0.0
2023-24,England Premier,1949.0,A Ahmedhodzic,56.1,1970-01-01 00:00:00,Bosnia And Herzegovina,195.0,Sheffield Utd,31.0,2649.0,Defender,6.73819305,15.0,5.0,2.0,0.0,953.0,7.0,64.0,26.0,34.0,247.0,139.0,20.0,11.0,13.0,34.0,10.0,0.0,0.0
2024-25,England Championship,1949.0,A Ahmedhodzic,26.8,1999-03-26 00:00:00,Bosnia And Herzegovina,195.0,Sheffield Utd,41.0,3405.0,Defender,7.0977749999999995,9.0,4.0,3.0,1.0,1924.0,14.0,57.0,15.0,44.0,274.0,159.0,11.0,6.0,30.0,28.0,11.0,1.0,0.0
2024-25,France Ligue 1,339601.0,A Aiki,20.6,2005-06-25 00:00:00,France,178.0,St Etienne,5.0,124.0,Attacker,5.598,2.0,1.0,0.0,0.0,28.0,1.0,3.0,0.0,1.0,24.0,5.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0
2025-26,France Ligue 1,417830.0,A AitBoudlal,19.8,2006-04-16 00:00:00,Morocco,190.0,Rennes,9.0,648.0,Defender,6.4108,2.0,2.0,2.0,1.0,350.0,1.0,13.0,5.0,5.0,60.0,33.0,6.0,2.0,2.0,6.0,2.0,1.0,2026.0
2024-25,Belgium Jupiler,127414.0,A AitElHadj,23.8,2002-04-20 00:00:00,Belgium,168.0,St Gilloise,28.0,1645.0,Midfielder,6.79384608,28.0,11.0,5.0,6.0,624.0,30.0,30.0,0.0,8.0,131.0,61.0,39.0,18.0,12.0,13.0,1.0,0.0,0.0
2025-26,Belgium Jupiler,127414.0,A AitElHadj,23.8,2002-04-20 00:00:00,Belgium,168.0,St Gilloise,21.0,1480.0,Attacker,6.9387,18.0,9.0,0.0,2.0,552.0,34.0,14.0,0.0,6.0,85.0,34.0,25.0,8.0,11.0,9.0,2.0,0.0,0.0
2023-24,England Premier,323449.0,A AlDakhil,56.1,1970-01-01 00:00:00,Belgium,187.0,Burnley,13.0,1056.0,Defender,6.1244609599999995,5.0,3.0,1.0,0.0,598.0,2.0,12.0,6.0,12.0,79.0,33.0,5.0,3.0,4.0,6.0,1.0,0.0,0.0
2024-25,Germany Bundesliga,323449.0,A AlDakhil,23.9,2002-03-06 00:00:00,Belgium,187.0,Stuttgart,7.0,436.0,Defender,6.2485713,1.0,0.0,0.0,0.0,337.0,2.0,6.0,8.0,9.0,32.0,19.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0
2025-26,Germany Bundesliga,323449.0,A AlDakhil,23.9,2002-03-06 00:00:00,Belgium,188.0,Stuttgart,7.0,368.0,Defender,5.98,1.0,0.0,0.0,0.0,234.0,2.0,7.0,2.0,4.0,30.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-24,England League Two,299813.0,A AlHamadi,56.1,1970-01-01 00:00:00,Iraq,183.0,AFC Wimbledon,23.0,1971.0,Attacker,7.0372166400000005,69.0,39.0,13.0,6.0,381.0,35.0,16.0,0.0,1.0,261.0,94.0,76.0,38.0,15.0,21.0,6.0,0.0,0.0
2023-24,England Championship,299813.0,A AlHamadi,56.1,1970-01-01 00:00:00,Iraq,183.0,Ipswich,14.0,281.0,Attacker,6.2035713,14.0,9.0,4.0,0.0,87.0,6.0,2.0,0.0,1.0,61.0,20.0,8.0,5.0,4.0,7.0,1.0,0.0,0.0
2024-25,England Premier,299813.0,A AlHamadi,23.9,2002-03-01 00:00:00,Iraq,183.0,Ipswich,11.0,123.0,Attacker,5.859,2.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.0,39.0,13.0,7.0,4.0,3.0,8.0,3.0,0.0,12213.0
2024-25,England Championship,299813.0,A AlHamadi,23.9,2002-03-01 00:00:00,Iraq,183.0,Stoke,15.0,836.0,Attacker,6.164000000000001,15.0,6.0,2.0,0.0,147.0,5.0,11.0,1.0,1.0,143.0,55.0,25.0,12.0,14.0,17.0,2.0,0.0,0.0
2024-25,0,0.0,A Albers,0.0,0,0,0.0,St Pauli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9317.0
2024-25,0,0.0,A Aldakhil,0.0,0,0,0.0,Stuttgart,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26167.0
2025-26,0,0.0,A Aldakhil,0.0,0,0,0.0,Stuttgart,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29714.0
2023-24,England Championship,141133.0,A Alese,56.1,1970-01-01 00:00:00,England,192.0,Sunderland,8.0,463.0,Defender,6.2325,1.0,0.0,0.0,0.0,264.0,7.0,8.0,1.0,5.0,40.0,25.0,1.0,0.0,8.0,3.0,2.0,0.0,0.0
2024-25,England Championship,141133.0,A Alese,25.0,2001-01-17 00:00:00,England,192.0,Sunderland,12.0,701.0,Defender,6.1574994,2.0,1.0,0.0,0.0,298.0,3.0,10.0,4.0,6.0,53.0,24.0,1.0,0.0,3.0,8.0,2.0,0.0,0.0
2025-26,0,0.0,A Alese,0.0,0,0,0.0,Sunderland,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8146.0
2025-26,Portugal Liga I,47540.0,A Algobia,26.6,1999-06-23 00:00:00,Spain,180.0,AVS,12.0,672.0,Midfielder,6.3456,2.0,0.0,0.0,0.0,201.0,2.0,18.0,4.0,1.0,48.0,28.0,4.0,3.0,3.0,7.0,0.0,0.0,0.0
2023-24,France Ligue 1,439817.0,A AliAbdallah,56.1,1970-01-01 00:00:00,France,182.0,Strasbourg,9.0,124.0,Attacker,5.9399999999999995,4.0,2.0,0.0,1.0,28.0,1.0,2.0,0.0,1.0,18.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0
2023-24,Spain La Liga,41157.0,A Almeida,56.1,1970-01-01 00:00:00,Portugal,176.0,Valencia,18.0,968.0,Midfielder,6.358222120000001,6.0,4.0,2.0,1.0,381.0,13.0,25.0,1.0,6.0,128.0,63.0,25.0,13.0,20.0,12.0,0.0,0.0,0.0
2024-25,Spain La Liga,41157.0,A Almeida,25.7,2000-05-30 00:00:00,Portugal,176.0,Valencia,34.0,1984.0,Midfielder,6.75861759,12.0,5.0,0.0,4.0,861.0,43.0,49.0,3.0,8.0,242.0,114.0,44.0,22.0,38.0,28.0,1.0,0.0,0.0
2025-26,Spain La Liga,41157.0,A Almeida,25.7,2000-05-30 00:00:00,Portugal,176.0,Valencia,13.0,797.0,Midfielder,6.6815999999999995,5.0,2.0,0.0,1.0,437.0,11.0,15.0,1.0,8.0,84.0,43.0,19.0,9.0,18.0,9.0,0.0,0.0,0.0
2024-25,Spain La Liga,162122.0,A Alti,24.8,2001-03-28 00:00:00,Spain,170.0,Leganes,22.0,1635.0,Defender,6.52545384,5.0,2.0,0.0,0.0,491.0,11.0,41.0,6.0,15.0,170.0,91.0,22.0,10.0,28.0,27.0,6.0,0.0,0.0
2023-24,Spain La Liga,162122.0,A Alti,56.1,1970-01-01 00:00:00,Spain,170.0,Villarreal,11.0,780.0,Defender,5.92145396,1.0,0.0,0.0,0.0,398.0,2.0,16.0,5.0,5.0,73.0,32.0,14.0,10.0,4.0,12.0,3.0,0.0,0.0
2024-25,0,0.0,A Altimira,0.0,0,0,0.0,Leganes,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2974.0
2025-26,0,0.0,A Altimira,0.0,0,0,0.0,Villarreal,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.0
2025-26,0,0.0,A Alvarez,0.0,0,0,0.0,Sassuolo,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28814.0
2024-25,Germany Bundesliga,162414.0,A Amenda,22.5,2003-07-31 00:00:00,Switzerland,194.0,Ein Frankfurt,8.0,91.0,Defender,6.01875,0.0,0.0,0.0,0.0,68.0,1.0,1.0,2.0,2.0,18.0,12.0,1.0,1.0,2.0,3.0,1.0,0.0,12687.0
2025-26,Germany Bundesliga,162414.0,A Amenda,22.5,2003-07-31 00:00:00,Switzerland,194.0,Ein Frankfurt,9.0,432.0,Defender,5.98,1.0,0.0,0.0,0.0,293.0,0.0,2.0,3.0,7.0,41.0,25.0,1.0,0.0,3.0,5.0,2.0,0.0,14407.0
2025-26,Portugal Liga I,405239.0,A Amorim,20.7,2005-05-18 00:00:00,Brazil,177.0,Alverca,19.0,1634.0,Midfielder,7.148200000000001,13.0,6.0,2.0,0.0,677.0,14.0,47.0,4.0,14.0,194.0,105.0,25.0,16.0,36.0,25.0,3.0,0.0,0.0
2025-26,0,0.0,A Amraoui,0.0,0,0,0.0,Nice,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5628.0
2025-26,Germany Bundesliga,422780.0,A Anselmino,20.7,2005-04-29 00:00:00,Argentina,186.0,Dortmund,6.0,368.0,Defender,6.6424,1.0,1.0,1.0,0.0,213.0,0.0,9.0,2.0,7.0,40.0,22.0,2.0,1.0,3.0,6.0,0.0,0.0,45021.0
2025-26,Scotland Premier,137129.0,A Aouchiche,23.5,2002-07-15 00:00:00,France,181.0,Aberdeen,20.0,1280.0,Midfielder,6.6444,27.0,12.0,3.0,0.0,656.0,19.0,23.0,0.0,16.0,168.0,72.0,29.0,13.0,19.0,17.0,5.0,0.0,0.0
2024-25,England Championship,137129.0,A Aouchiche,23.5,2002-07-15 00:00:00,France,181.0,Portsmouth,12.0,687.0,Midfielder,6.067499400000001,9.0,6.0,1.0,1.0,213.0,8.0,14.0,1.0,10.0,89.0,34.0,15.0,7.0,7.0,6.0,2.0,0.0,0.0
2023-24,England Championship,137129.0,A Aouchiche,56.1,1970-01-01 00:00:00,France,181.0,Sunderland,28.0,1091.0,Midfielder,6.34459232,29.0,15.0,2.0,2.0,501.0,32.0,25.0,0.0,9.0,127.0,51.0,20.0,9.0,11.0,12.0,2.0,0.0,0.0
2024-25,England Championship,137129.0,A Aouchiche,23.5,2002-07-15 00:00:00,France,181.0,Sunderland,8.0,293.0,Midfielder,6.067499400000001,9.0,6.0,0.0,1.0,213.0,8.0,14.0,1.0,10.0,89.0,34.0,15.0,7.0,7.0,6.0,0.0,0.0,0.0
2024-25,0,0.0,A Aourir,0.0,0,0,0.0,Leverkusen,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3172.0
2024-25,Portugal Liga I,19306.0,A Appiah,25.1,2001-01-05 00:00:00,England,173.0,Nacional,26.0,1383.0,Attacker,6.23232,9.0,4.0,0.0,0.0,398.0,7.0,19.0,0.0,16.0,131.0,64.0,24.0,10.0,24.0,24.0,3.0,0.0,0.0
2023-24,England Championship,19306.0,A Appiah,56.1,1970-01-01 00:00:00,England,173.0,Rotherham,29.0,821.0,Attacker,5.98328532,6.0,1.0,0.0,1.0,181.0,5.0,9.0,0.0,5.0,92.0,40.0,32.0,13.0,14.0,3.0,2.0,0.0,0.0
2024-25,Spain La Liga,131492.0,A Arambarri,28.0,1998-01-31 00:00:00,Spain,186.0,Leganes,2.0,178.0,Defender,5.9399999999999995,0.0,0.0,0.0,0.0,67.0,0.0,1.0,2.0,3.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,0,0.0,A Arena,0.0,0,0,0.0,Pisa,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4952.0
2023-24,England Premier,253.0,A Areola,56.1,1970-01-01 00:00:00,France,195.0,West Ham,31.0,2702.0,Goalkeeper,7.45119319,0.0,0.0,0.0,0.0,718.0,0.0,1.0,0.0,1.0,20.0,15.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0
2024-25,England Premier,253.0,A Areola,32.9,1993-02-27 00:00:00,France,195.0,West Ham,26.0,2260.0,Goalkeeper,6.76953816,0.0,0.0,0.0,0.0,865.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,146550.0
2025-26,England Premier,253.0,A Areola,32.9,1993-02-27 00:00:00,France,195.0,West Ham,19.0,1715.0,Goalkeeper,6.867999999999999,0.0,0.0,0.0,1.0,513.0,1.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,162924.0
2023-24,Spain La Liga,288525.0,A Ares,56.1,1970-01-01 00:00:00,Spain,183.0,Ath Bilbao,12.0,257.0,Attacker,6.0075,2.0,0.0,0.0,0.0,93.0,1.0,8.0,0.0,1.0,58.0,36.0,23.0,15.0,12.0,5.0,2.0,0.0,0.0
2025-26,0,0.0,A Ares,0.0,0,0,0.0,Ath Bilbao,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9454.0
2023-24,England Championship,19484.0,A Armstrong,56.1,1970-01-01 00:00:00,England,172.0,Southampton,49.0,4014.0,Attacker,7.46224391,108.0,68.0,24.0,13.0,1156.0,63.0,28.0,4.0,8.0,271.0,106.0,67.0,22.0,29.0,41.0,5.0,0.0,0.0
2024-25,England Premier,19484.0,A Armstrong,29.0,1997-02-10 00:00:00,England,172.0,Southampton,20.0,1254.0,Attacker,6.3312,18.0,9.0,2.0,2.0,269.0,9.0,12.0,1.0,3.0,86.0,28.0,14.0,6.0,5.0,12.0,4.0,0.0,73275.0
2025-26,England Championship,19484.0,A Armstrong,29.0,1997-02-10 00:00:00,England,172.0,Southampton,28.0,1971.0,Attacker,7.0142999999999995,63.0,35.0,11.0,4.0,362.0,24.0,20.0,0.0,8.0,151.0,57.0,29.0,13.0,13.0,26.0,4.0,0.0,0.0
2024-25,England Championship,19484.0,A Armstrong,29.0,1997-02-10 00:00:00,England,172.0,West Brom,16.0,1015.0,Attacker,6.19275,18.0,10.0,3.0,0.0,184.0,7.0,10.0,1.0,0.0,81.0,29.0,17.0,8.0,7.0,16.0,0.0,0.0,0.0
2025-26,Portugal Liga I,505604.0,A Assis,19.5,2006-07-15 00:00:00,Portugal,183.0,Moreirense,9.0,352.0,Midfielder,6.1364,1.0,1.0,1.0,0.0,225.0,1.0,6.0,1.0,5.0,38.0,17.0,2.0,1.0,5.0,8.0,3.0,0.0,0.0
2024-25,0,0.0,A Astralaga,0.0,0,0,0.0,Barcelona,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0
2023-24,France Ligue 1,347644.0,A Atta,56.1,1970-01-01 00:00:00,France,189.0,Metz,21.0,919.0,Midfielder,6.2557,7.0,4.0,1.0,2.0,415.0,13.0,20.0,3.0,11.0,142.0,59.0,29.0,13.0,13.0,18.0,0.0,0.0,0.0
2024-25,Italy Serie A,347644.0,A Atta,23.0,2003-01-14 00:00:00,France,189.0,Udinese,27.0,1245.0,Midfielder,6.31246096,15.0,7.0,0.0,1.0,596.0,18.0,20.0,5.0,7.0,167.0,75.0,57.0,27.0,14.0,15.0,5.0,0.0,5551.0
2025-26,Italy Serie A,347644.0,A Atta,23.0,2003-01-14 00:00:00,France,189.0,Udinese,16.0,1247.0,Midfielder,6.7032,18.0,9.0,1.0,2.0,466.0,21.0,15.0,1.0,7.0,170.0,80.0,65.0,37.0,20.0,12.0,2.0,0.0,12606.0
2025-26,France Ligue 1,402265.0,A Avom,21.1,2004-12-15 00:00:00,Cameroon,185.0,Lorient,17.0,1300.0,Midfielder,7.130599999999999,9.0,1.0,0.0,1.0,703.0,20.0,33.0,1.0,21.0,145.0,84.0,25.0,16.0,31.0,12.0,3.0,0.0,1576.0
2023-24,France Ligue 1,1370.0,A Ayew,56.1,1970-01-01 00:00:00,Ghana,175.0,Le Havre,19.0,1105.0,Attacker,6.446420359999999,24.0,13.0,5.0,0.0,258.0,8.0,15.0,3.0,2.0,210.0,101.0,26.0,16.0,26.0,15.0,2.0,1.0,0.0
2024-25,0,0.0,A Aznou,0.0,0,0,0.0,Bayern Munich,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5551.0
2025-26,0,0.0,A Aznou,0.0,0,0,0.0,Bayern Munich,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6978.0
