Exp1,Under,Over,Un2.5_%,Ov2.5_%,Exp
4.57,6,1.2,0.17,0.83,4.57
4.63,6.26,1.19,0.16,0.84,4.63
4.7,6.56,1.18,0.15,0.85,4.7
4.78,6.88,1.17,0.15,0.85,4.78
4.85,7.25,1.16,0.14,0.86,4.85
4.94,7.67,1.15,0.13,0.87,4.94
5.03,8.14,1.14,0.12,0.88,5.03
5.12,8.69,1.13,0.12,0.88,5.12
5.23,9.33,1.12,0.11,0.89,5.23
5.34,10.09,1.11,0.1,0.9,5.34
