Exp1,Under,Over,Un10.5_%,Ov10.5_%,Exp
7.56,1.17,7,0.86,0.14,7.56
7.52,1.16,7.2,0.86,0.14,7.52
7.47,1.16,7.4,0.86,0.14,7.47
7.43,1.15,7.6,0.87,0.13,7.43
7.39,1.15,7.8,0.87,0.13,7.39
7.35,1.14,8,0.88,0.13,7.35
7.31,1.14,8.2,0.88,0.12,7.31
7.28,1.14,8.4,0.88,0.12,7.28
7.24,1.13,8.6,0.88,0.12,7.24
7.21,1.13,8.8,0.89,0.11,7.21
7.18,1.13,9,0.89,0.11,7.18
